frame,time_s,angle_deg,leaflet_left_len,leaflet_right_len,asymmetry,tip_left_x,tip_left_y,tip_right_x,tip_right_y,base_left_x,base_left_y,base_right_x,base_right_y,angle_smooth_deg,speed_deg_s,asymmetry_smooth
150,5.005005005005005,nan,nan,nan,nan,12.0,30.0,58.0,15.0,361.0,252.0,nan,nan,nan,nan,nan
151,5.038371705038372,nan,nan,nan,nan,12.0,30.0,nan,nan,359.0,249.0,364.0,251.0,nan,nan,nan
152,5.071738405071739,nan,nan,nan,nan,12.0,30.0,49.0,445.0,nan,nan,365.0,252.0,nan,nan,nan
153,5.105105105105105,nan,nan,nan,nan,nan,nan,nan,nan,267.0,225.0,368.0,252.0,3.182353973388672,nan,0.012707392685115337
154,5.138471805138472,nan,nan,nan,nan,674.0,48.0,686.0,65.0,nan,nan,364.0,252.0,3.182353973388672,0.0,0.012707392685115337
155,5.171838505171839,3.182354,395.43173,400.48877,0.012707393,671.0,48.0,686.0,65.0,294.0,241.0,364.0,252.0,3.182353973388672,0.0,0.012707392685115337
156,5.205205205205205,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,363.0,253.0,3.182353973388672,0.0,0.012707392685115337
157,5.238571905238572,nan,nan,nan,nan,12.0,30.0,670.0,28.0,331.0,216.0,nan,nan,3.182353973388672,nan,0.012707392685115337
158,5.271938605271939,nan,nan,nan,nan,nan,nan,671.0,29.0,nan,nan,379.0,234.0,nan,nan,nan
159,5.305305305305305,nan,nan,nan,nan,686.0,46.0,nan,nan,364.0,198.0,375.0,233.0,nan,nan,nan
160,5.3386720053386725,nan,nan,nan,nan,nan,nan,683.0,44.0,nan,nan,377.0,236.0,nan,nan,nan
161,5.372038705372039,nan,nan,nan,nan,12.0,30.0,nan,nan,286.0,206.0,nan,nan,nan,nan,nan
162,5.405405405405405,nan,nan,nan,nan,12.0,30.0,50.0,439.0,nan,nan,359.0,258.0,nan,nan,nan
163,5.4387721054387725,nan,nan,nan,nan,12.0,30.0,nan,nan,299.0,225.0,359.0,254.0,nan,nan,nan
164,5.472138805472139,nan,nan,nan,nan,nan,nan,673.0,47.0,297.0,243.0,nan,nan,nan,nan,nan
165,5.505505505505505,nan,nan,nan,nan,657.0,369.0,nan,nan,nan,nan,241.0,164.0,nan,nan,nan
166,5.538872205538873,nan,nan,nan,nan,nan,nan,673.0,47.0,358.0,266.0,nan,nan,nan,nan,nan
167,5.572238905572239,nan,nan,nan,nan,618.0,432.0,nan,nan,nan,nan,391.0,235.0,nan,nan,nan
168,5.605605605605605,nan,nan,nan,nan,nan,nan,648.0,391.0,257.0,256.0,nan,nan,nan,nan,nan
169,5.638972305638973,nan,nan,nan,nan,656.0,388.0,662.0,387.0,nan,nan,369.0,197.0,nan,nan,nan
170,5.672339005672339,nan,nan,nan,nan,nan,nan,nan,nan,301.0,283.0,nan,nan,nan,nan,nan
171,5.705705705705706,nan,nan,nan,nan,670.0,51.0,677.0,48.0,nan,nan,360.0,269.0,nan,nan,nan
172,5.739072405739073,nan,nan,nan,nan,nan,nan,677.0,48.0,355.0,278.0,361.0,270.0,nan,nan,nan
173,5.772439105772439,nan,nan,nan,nan,12.0,30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
174,5.805805805805806,nan,nan,nan,nan,nan,nan,677.0,48.0,268.0,258.0,283.0,204.0,nan,nan,nan
175,5.839172505839173,nan,nan,nan,nan,670.0,43.0,677.0,48.0,279.0,259.0,nan,nan,nan,nan,nan
176,5.872539205872539,nan,nan,nan,nan,nan,nan,677.0,48.0,nan,nan,283.0,204.0,nan,nan,nan
177,5.9059059059059065,nan,nan,nan,nan,670.0,43.0,676.0,47.0,345.0,271.0,nan,nan,1.2239731550216675,nan,0.030968552455306053
178,5.939272605939273,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,394.0,189.0,1.2239731550216675,437.657810768187,0.030968552455306053
179,5.972639305972639,1.2239732,381.72568,370.08444,0.030968552,12.0,30.0,26.0,28.0,323.0,207.0,388.0,186.0,30.430366933345795,437.657810768187,0.029307527467608452
180,6.0060060060060065,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.430366933345795,0.0,0.029307527467608452
181,6.039372706039373,59.63676,394.02347,383.27863,0.027646502,12.0,30.0,57.0,414.0,353.0,197.0,388.0,190.0,30.430366933345795,-8.541778079029172,0.029307527467608452
182,6.072739406072739,nan,nan,nan,nan,12.0,30.0,44.0,413.0,nan,nan,388.0,190.0,29.860345039516687,-8.541778079029172,0.014899075264111161
